"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/1996/07/18/business/media-business-advertising-pontiac-turns-back-clock-three-decades-tout-its-wide.html","Robyn Meredith","1996-07-18","","613","null","The New York Times","Business Day","News","article","THE MEDIA BUSINESS: ADVERTISING;Pontiac turns back the clock three decades to tout its wide track 1997 Grand Prix.","THE MEDIA BUSINESS: ADVERTISING;Pontiac turns back the clock three decades to tout its wide track 1997 Grand Prix."
"https://www.nytimes.com/1996/07/05/business/air-france-sets-a-merger-amid-protests.html","null","1996-07-05","","408","null","The New York Times","Business Day","News","article","Air France Sets a Merger Amid Protests","Air France Sets a Merger Amid Protests"
"https://www.nytimes.com/1996/10/04/business/prices-of-heating-fuels-soar-as-forecasters-see-cold-snap.html","Bloomberg News","1996-10-04","Prices for heating oil and natural gas surge on New York Mercantile Exchange as forecasts for colder weather raise concerns about increased demand at time of low supplies; coffee prices rise, while corn and soybeans fall (M)","336","null","The New York Times","Business Day","News","article","Prices of Heating Fuels Soar As Forecasters See Cold Snap","Prices of Heating Fuels Soar As Forecasters See Cold Snap"
"https://www.nytimes.com/1996/05/07/business/sec-now-requires-filing-by-computer.html","null","1996-05-07","","113","null","The New York Times","Business Day","News","article","S.E.C. Now Requires Filing by Computer","S.E.C. Now Requires Filing by Computer"
"https://www.nytimes.com/1996/08/12/business/behold-a-hot-new-star-but-who-said-it-first.html","Robin Pogrebin","1996-08-12","Overwhelming buzz about Matthew McConaughey, who appears in film A Time to Kill, and about Gwyneth Paltrow, who stars in film Emma, has won each unusual honor of being featured on covers of numerous magazines at same time and being subject of arti...","1497","null","The New York Times","Business Day","News","article","Behold! A Hot New Star! But Who Said It First?","Behold! A Hot New Star! But Who Said It First?"
"https://www.nytimes.com/1996/08/31/business/business-digest-124478.html","null","1996-08-31","Business Digest column","604","null","The New York Times","Business Day","Summary","article","BUSINESS DIGEST","BUSINESS DIGEST"
"https://www.nytimes.com/1996/06/17/business/worldbusiness/IHT-prague-notebook-even-the-successful-need-a-bit-of.html","Peter Green","1996-06-17","Many Western entrepreneurs came to Prague in the early 1990s with dreams of conquering the East. Some have been quite successful, but even the best seem to be running into limits.Wood & Co., one of the first foreign-owned stock-brokerages to open ...","658","null","International Herald Tribune","Business Day","null","article","Prague Notebook : Even the Successful Need a Bit of Help","Prague Notebook : Even the Successful Need a Bit of Help"
"https://www.nytimes.com/1996/06/04/business/company-news-zila-plans-to-buy-biodental-technologies-in-stock-deal.html","Bloomberg News","1996-06-04","","104","null","The New York Times","Business Day","News","article","COMPANY NEWS;ZILA PLANS TO BUY BIODENTAL TECHNOLOGIES IN STOCK DEAL","COMPANY NEWS;ZILA PLANS TO BUY BIODENTAL TECHNOLOGIES IN STOCK DEAL"
"https://www.nytimes.com/1996/10/24/business/slower-revenue-growth-in-quarter-at-wpp.html","null","1996-10-24","WPP Group PLC says its third quarter revenue rose 8.1 percent to 407.2 million pounds ($651 million) from year earlier (S)","113","null","The New York Times","Business Day","News","article","Slower Revenue Growth In Quarter at WPP","Slower Revenue Growth In Quarter at WPP"
"https://www.nytimes.com/1996/09/30/world/new-afghan-rulers-shock-even-their-backers-in-pakistan.html","John Burns","1996-09-30","Pakistan has maintained close contacts with leaders of Taliban religious movement in Afghanistan and has supported their drive for power; now Pakistan is coming to terms with takeover of Kabul by Taliban, which is led by militant Islamic clerics; ...","869","null","The New York Times","World","News","article","New Afghan Rulers Shock Even Their Backers in Pakistan","New Afghan Rulers Shock Even Their Backers in Pakistan"
"https://www.nytimes.com/1996/05/14/business/mobil-in-saudi-venture.html","Dow Jones","1996-05-14","","62","null","The New York Times","Business Day","News","article","Mobil in Saudi Venture","Mobil in Saudi Venture"
"https://www.nytimes.com/1996/06/14/business/market-place-wired-going-public-is-a-real-company-but-makes-no-profit.html","null","1996-06-14","","639","null","The New York Times","Business Day","News","article","Market Place;Wired, going public, is a real company, but makes no profit.","Market Place;Wired, going public, is a real company, but makes no profit."
"https://www.nytimes.com/1996/05/24/business/finance-briefs-068578.html","null","1996-05-24","","146","null","The New York Times","Business Day","News","article","FINANCE BRIEFS","FINANCE BRIEFS"
"https://www.nytimes.com/1996/09/22/business/l-asking-questions-at-towers-financial-369578.html","null","1996-09-22","Letter from Thomas B Evans Jr, former Congressman from Delaware, says he seriously acquitted his responsibilities as a director of Towers Financial Corp, a company that turned out to be a Ponzi scheme; he was mentioned in Aug 18 article on service...","273","null","The New York Times","Business Day","Letter","article","Asking Questions At Towers Financial","Asking Questions At Towers Financial"
"https://www.nytimes.com/1996/08/03/world/returnees-ante-up-venture-capital-their-ideas.html","Seth Mydans","1996-08-03","Hundreds of young Vietnamese-born Americans have returned to Vietnam in the last few years to do business and to seek their roots; many express uncertainty over their cultural identities, and Vietnamese Government seems equally divided between wan...","982","null","The New York Times","World","News","article","Returnees Ante Up Venture Capital: Their Ideas","Returnees Ante Up Venture Capital: Their Ideas"
"https://www.nytimes.com/1996/04/17/world/world-news-briefs-language-lapse-cited-in-colombia-air-crash.html","null","1996-04-17","","195","null","The New York Times","World","News","article","WORLD NEWS BRIEFS;Language Lapse Cited In Colombia Air Crash","WORLD NEWS BRIEFS;Language Lapse Cited In Colombia Air Crash"
"https://www.nytimes.com/1996/06/15/world/north-korea-may-still-hold-pow-s-inquiry-suggests.html","Philip Shenon","1996-06-15","","752","null","The New York Times","World","News","article","North Korea May Still Hold P.O.W.'s, Inquiry Suggests","North Korea May Still Hold P.O.W.'s, Inquiry Suggests"
"https://www.nytimes.com/1996/12/13/world/does-keeping-the-peace-spoil-gi-s-for-war.html","Mike O'Connor","1996-12-13","Senior US Army officers say that year of peacekeeping in Bosnia has cost American soldiers some of their ability to fight conventional war, because they use skills directly opposed to combat training; photo; officers propose to give 10,000 troops ...","1240","null","The New York Times","World","News","article","Does Keeping the Peace Spoil G.I.'s for War?","Does Keeping the Peace Spoil G.I.'s for War?"
"https://www.nytimes.com/1996/06/21/world/iraqi-arms-plant-destroyed.html","null","1996-06-21","","51","null","The New York Times","World","News","article","Iraqi Arms Plant Destroyed","Iraqi Arms Plant Destroyed"
